COUNTRY,YEAR,MONTH,TOTAL_PRODUCTION,DOMESTIC_CONSUMPTION,EXPORTABLE_PRODUCTION,GROSS_OPENING_STOCKS
Malawi,1995/96,April,91.235,2,89.235,5
Papua New Guinea,1995/96,April,1002.363,2,1000.363,39.5
Paraguay,1995/96,April,22.843,20,2.843,67
Peru,1995/96,April,1870.939,200,1670.939,160
Rwanda,1995/96,April,329.078,1,328.078,0.3
Timor-Leste,1995/96,April,,,0,0
Zimbabwe,1995/96,April,130.644,6.6,124.044,0
"Congo, Rep. of",1995/96,July,11.755,3,8.755,0
Cuba,1995/96,July,284.955,194,90.955,116
Dominican Republic,1995/96,July,885.625,350,535.625,198
Haiti,1995/96,July,513.945,330,183.945,27
Philippines,1995/96,July,849.59,810,39.59,1107
Tanzania,1995/96,July,897.121,13.6,883.521,86.5
Zambia,1995/96,July,26.333,0.6,25.733,0
Benin,1995/96,October,0,0,0,0
Cameroon,1995/96,October,660.04,100,560.04,120
Central African Republic,1995/96,October,108.065,10,98.065,8.333
Colombia,1995/96,October,12962.561,1500,11462.561,5582
"Congo, Dem. Rep. of",1995/96,October,1098.155,200,898.155,101
Costa Rica,1995/96,October,2843.596,375,2468.596,309
Côte d'Ivoire,1995/96,October,2531.864,50,2481.864,887
El Salvador,1995/96,October,2585.179,270,2315.179,603.466
Equatorial Guinea,1995/96,October,1.807,0,1.807,0
Ethiopia,1995/96,October,3165.322,1555,1610.322,4185
Gabon,1995/96,October,1.768,0.8,968,1
Ghana,1995/96,October,56.528,28,28.528,15
Guatemala,1995/96,October,4001.604,310,3691.604,153.333
Guinea,1995/96,October,104.164,50,54.164,12
Guyana,1995/96,October,,,0,0
Honduras,1995/96,October,1909.238,161,1748.238,329.1
India,1995/96,October,3716.999,833.333,2883.666,934
Jamaica,1995/96,October,43.084,15,28.084,14.179
Kenya,1995/96,October,1664.234,50,1614.234,576.825
"Lao, People's Dem. Rep. of",1995/96,October,,,0,0
Liberia,1995/96,October,5,5,0,0
Mexico,1995/96,October,5299.888,1179,4120.888,899
Nepal,1995/96,October,,,0,0
Nicaragua,1995/96,October,984.676,111.5,873.176,40.9
Nigeria,1995/96,October,53.038,40,13.038,0
Panama,1995/96,October,209.448,76.667,132.781,49.779
Sierra Leone,1995/96,October,43.768,8,35.768,0
Sri Lanka,1995/96,October,35.595,20,15.595,5
Thailand,1995/96,October,1317.226,417,900.226,80.25
Togo,1995/96,October,84.401,1,83.401,1.183
Trinidad & Tobago,1995/96,October,17.629,14,3.629,0
Uganda,1995/96,October,3243.584,80,3163.584,2520
Venezuela,1995/96,October,1466.554,962.46,504.094,250
Vietnam,1995/96,October,3970.086,281.845,3688.241,158
Yemen,1995/96,October,,,0,0
Angola,1996/97,April,70.925,20,50.925,40
Bolivia,1996/97,April,133.079,40,93.079,14
Brazil,1996/97,April,29196.743,11000,18196.743,26361
Burundi,1996/97,April,400.969,2,398.969,88.5
Ecuador,1996/97,April,1992.914,300,1692.914,200
Indonesia,1996/97,April,8220.584,1486,6734.584,166.667
Madagascar,1996/97,April,849.008,167,682.008,2.033
Malawi,1996/97,April,48.65,2,46.65,13
Papua New Guinea,1996/97,April,1089.348,2,1087.348,40
Paraguay,1996/97,April,25.563,20,5.563,55
Peru,1996/97,April,1805.861,200,1605.861,0
Rwanda,1996/97,April,293.003,1,292.003,10.679
Timor-Leste,1996/97,April,,,0,0
Zimbabwe,1996/97,April,174.393,4,170.393,9.594
"Congo, Rep. of",1996/97,July,13.86,3,10.86,0
Cuba,1996/97,July,365.865,189,176.865,84.1
Dominican Republic,1996/97,July,518.848,325,193.848,180
Haiti,1996/97,July,428.387,330,98.387,39.236
Philippines,1996/97,July,889.819,831,58.819,1117
Tanzania,1996/97,July,763.94,16.6,747.34,35.4
Zambia,1996/97,July,33.025,1,32.025,0
Benin,1996/97,October,0,0,0,0
Cameroon,1996/97,October,1432.189,100,1332.189,175
Central African Republic,1996/97,October,207.831,10,197.831,9
Colombia,1996/97,October,10719.063,1600,9119.063,6260
"Congo, Dem. Rep. of",1996/97,October,794.577,200,594.577,84.57
Costa Rica,1996/97,October,2221.915,375,1846.915,297
Côte d'Ivoire,1996/97,October,4858.592,50,4808.592,469
El Salvador,1996/97,October,2533.568,230,2303.568,663.044
Equatorial Guinea,1996/97,October,1.12,0,1.12,0
Ethiopia,1996/97,October,3407.442,1637,1770.442,4018
Gabon,1996/97,October,1.279,833,446,992
Ghana,1996/97,October,32.425,3,29.425,36
Guatemala,1996/97,October,4524.556,300,4224.556,131.661
Guinea,1996/97,October,147.638,50,97.638,12
Guyana,1996/97,October,,,0,0
Honduras,1996/97,October,2004.388,167.924,1836.464,23
India,1996/97,October,3417.454,833.333,2584.121,692
Jamaica,1996/97,October,53.864,18,35.864,15
Kenya,1996/97,October,1246.753,50,1196.753,295.574
"Lao, People's Dem. Rep. of",1996/97,October,,,0,0
Liberia,1996/97,October,5,5,0,0
Mexico,1996/97,October,5109.551,1235,3874.551,524
Nepal,1996/97,October,,,0,0
Nicaragua,1996/97,October,793.305,95.37,697.935,16.374
Nigeria,1996/97,October,45.975,40,5.975,0
Panama,1996/97,October,210.742,76.667,134.075,31.353
Sierra Leone,1996/97,October,40.91,8,32.91,0
Sri Lanka,1996/97,October,36.999,20,16.999,4
Thailand,1996/97,October,1403.581,333,1070.581,87.133
Togo,1996/97,October,290.586,1,289.586,533
Trinidad & Tobago,1996/97,October,18.188,14,4.188,0
Uganda,1996/97,October,3418.724,80,3338.724,1470
Venezuela,1996/97,October,1206.162,1003.18,202.982,300
Vietnam,1996/97,October,5752.481,297.516,5454.965,167
Yemen,1996/97,October,,,0,0
Angola,1997/98,April,64.33,40,24.33,40
Bolivia,1997/98,April,153.219,45,108.219,2
Brazil,1997/98,April,26148.004,11500,14648.004,27298
Burundi,1997/98,April,249.785,2,247.785,301.833
Ecuador,1997/98,April,1190.663,300,890.663,380
Indonesia,1997/98,April,7620.778,1532,6088.778,128.784
Madagascar,1997/98,April,623.804,167,456.804,16.667
Malawi,1997/98,April,60.82,2,58.82,2
Papua New Guinea,1997/98,April,1074.021,2,1072.021,45
Paraguay,1997/98,April,23.379,20,3.379,45
Peru,1997/98,April,1929.959,200,1729.959,78
Rwanda,1997/98,April,193.422,3,190.422,15.127
Timor-Leste,1997/98,April,,,0,0
Zimbabwe,1997/98,April,130.193,4,126.193,0
"Congo, Rep. of",1997/98,July,3.27,3,0.27,0
Cuba,1997/98,July,300.021,195,105.021,147.4
Dominican Republic,1997/98,July,941.242,325,616.242,34
Haiti,1997/98,July,431.818,330,101.818,25
Philippines,1997/98,July,935.472,853,82.472,1148
Tanzania,1997/98,July,623.78,17,606.78,15
Zambia,1997/98,July,38.462,0.6,37.862,0
Benin,1997/98,October,0,0,0,0
Cameroon,1997/98,October,888.942,100,788.942,131.484
Central African Republic,1997/98,October,114.354,10,104.354,5.886
Colombia,1997/98,October,12219.455,1600,10619.455,4203
"Congo, Dem. Rep. of",1997/98,October,811.217,200,611.217,87.317
Costa Rica,1997/98,October,2616.6,375,2241.6,79
Côte d'Ivoire,1997/98,October,4164.004,50,4114.004,1372.5
El Salvador,1997/98,October,2174.809,191.667,1983.142,129.068
Equatorial Guinea,1997/98,October,1.669,0,1.669,0
Ethiopia,1997/98,October,3056.864,1724,1332.864,3935
Gabon,1997/98,October,2.668,0.8,1.868,733
Ghana,1997/98,October,27.275,3,24.275,37.225
Guatemala,1997/98,October,4219.373,300,3919.373,132
Guinea,1997/98,October,171.711,50,121.711,6
Guyana,1997/98,October,,,0,0
Honduras,1997/98,October,2564.405,161,2403.405,33.998
India,1997/98,October,3805.089,833.333,2971.756,800
Jamaica,1997/98,October,47.025,20,27.025,23.588
Kenya,1997/98,October,881.965,50,831.965,103
"Lao, People's Dem. Rep. of",1997/98,October,,,0,0
Liberia,1997/98,October,5,5,0,0
Mexico,1997/98,October,4801.561,1201,3600.561,208
Nepal,1997/98,October,,,0,0
Nicaragua,1997/98,October,1083.523,123,960.523,12.398
Nigeria,1997/98,October,44.667,40,4.667,0
Panama,1997/98,October,217.469,80.615,136.854,47
Sierra Leone,1997/98,October,49.679,5,44.679,0
Sri Lanka,1997/98,October,57.584,20,37.584,1
Thailand,1997/98,October,1293.076,390,903.076,54.3
Togo,1997/98,October,221.078,1,220.078,0
Trinidad & Tobago,1997/98,October,19.392,14,5.392,0
Uganda,1997/98,October,3439.868,101.19,3338.678,571.71
Venezuela,1997/98,October,951.285,1045.61,0,319
Vietnam,1997/98,October,6978.942,314.058,6664.884,200
Yemen,1997/98,October,,,0,0
Angola,1998/99,April,85.344,30,55.344,10
Bolivia,1998/99,April,149.985,45,104.985,1
Brazil,1998/99,April,36760.8533,12200,24560.8533,26594
Burundi,1998/99,April,491.992,2,489.992,3.584
Ecuador,1998/99,April,1205.968,300,905.968,160
Indonesia,1998/99,April,7295.955,1578,5717.955,709.035
Madagascar,1998/99,April,991.799,167,824.799,40
Malawi,1998/99,April,64.321,2,62.321,3
Papua New Guinea,1998/99,April,1352.149,1,1351.149,38.3
Paraguay,1998/99,April,58.347,20,38.347,40
Peru,1998/99,April,2102.298,200,1902.298,98
Rwanda,1998/99,April,222.637,3,219.637,1.89
Timor-Leste,1998/99,April,,,0,0
Zimbabwe,1998/99,April,149.45,4,145.45,0
"Congo, Rep. of",1998/99,July,3,3,0,0
Cuba,1998/99,July,279.953,200,79.953,140.2
Dominican Republic,1998/99,July,486.592,325,161.592,245
Haiti,1998/99,July,439.247,330,109.247,22
Philippines,1998/99,July,676.729,810,0,1193
Tanzania,1998/99,July,739.312,17,722.312,15.711
Zambia,1998/99,July,61.686,0.6,61.086,0
Benin,1998/99,October,0,0,0,0
Cameroon,1998/99,October,1113.94,100,1013.94,133.333
Central African Republic,1998/99,October,214.582,19,195.582,3.502
Colombia,1998/99,October,10979.094,1600,9379.094,3911
"Congo, Dem. Rep. of",1998/99,October,738.083,200,538.083,97.847
Costa Rica,1998/99,October,2445.12,375,2070.12,163
Côte d'Ivoire,1998/99,October,1991.547,50,1941.547,437.5
El Salvador,1998/99,October,2054.628,191.667,1862.961,227.232
Equatorial Guinea,1998/99,October,1.036,0,1.036,0
Ethiopia,1998/99,October,2927.725,1816,1111.725,3178
Gabon,1998/99,October,3.765,0.8,2.965,1.086
Ghana,1998/99,October,54.436,1,53.436,44
Guatemala,1998/99,October,4892.964,300,4592.964,161
Guinea,1998/99,October,421.266,50,371.266,6
Guyana,1998/99,October,5.9811,4.867,1.1141,0
Honduras,1998/99,October,2195.145,138,2057.145,138.209
India,1998/99,October,4416.768,833,3583.768,290
Jamaica,1998/99,October,29.083,14.8,14.283,30.132
Kenya,1998/99,October,1172.882,50,1122.882,129
"Lao, People's Dem. Rep. of",1998/99,October,171.424,0,171.424,0
Liberia,1998/99,October,17.779,5,12.779,0
Mexico,1998/99,October,4801.348,1108,3693.348,195
Nepal,1998/99,October,,,0,0
Nicaragua,1998/99,October,1073.08,126.5,946.58,16.64
Nigeria,1998/99,October,53.405,40,13.405,0
Panama,1998/99,October,191.996,67,124.996,42
Sierra Leone,1998/99,October,26.882,5,21.882,0
Sri Lanka,1998/99,October,45.738,30,15.738,19
Thailand,1998/99,October,915.986,433,482.986,172.4
Togo,1998/99,October,321.486,2,319.486,42.552
Trinidad & Tobago,1998/99,October,17.018,14,3.018,0.75
Uganda,1998/99,October,3385.839,116,3269.839,878.05
Venezuela,1998/99,October,1597.279,1089.84,507.439,145
Vietnam,1998/99,October,7051.722,331.519,6720.203,250
Yemen,1998/99,October,68.7007,0,68.7007,0
Angola,1999/00,April,54.939,20,34.939,10
Bolivia,1999/00,April,183.702,60,123.702,5
Brazil,1999/00,April,47577.8065,12700,34877.8065,30070
Burundi,1999/00,April,350.55,2,348.55,101.726
Ecuador,1999/00,April,1197.6832,230,967.6832,100
Indonesia,1999/00,April,6557.0662,1626,4931.0662,707.751
Madagascar,1999/00,April,427.317,56,371.317,42.133
Malawi,1999/00,April,59,1,58,3
Papua New Guinea,1999/00,April,1387.0519,2,1385.0519,47.664
Paraguay,1999/00,April,20.241,20,241,36
Peru,1999/00,April,2743.533,200,2543.533,88
Rwanda,1999/00,April,307.275,2,305.275,2.306
Timor-Leste,1999/00,April,,,0,0
Zimbabwe,1999/00,April,125.4843,4,121.4843,10
"Congo, Rep. of",1999/00,July,3,3,0,0
Cuba,1999/00,July,327.9874,200,127.9874,116.2
Dominican Republic,1999/00,July,606.879,325,281.879,254.295
Haiti,1999/00,July,399.027,340,59.027,19
Philippines,1999/00,July,621.7634,862,0,1057
Tanzania,1999/00,July,842.2181,14,828.2181,12.999
